GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CHIAFramework,it.polimi,CHIA,213,86,20,2,55,29,14,3,3,3
CHIAFramework,it.polimi,CHIAState,38,0,0,0,2,0,4,0,4,0
CHIAFramework,it.polimi.statemachine.events,ReplacementEvent,88,176,10,6,13,20,8,8,3,5
CHIAFramework,it.polimi.statemachine.events,AutomataEvent.new AutomataEvent() {...},26,51,0,0,6,10,1,7,1,7
CHIAFramework,it.polimi.statemachine.events,AutomataEvent.new AutomataEvent() {...},3,44,0,0,2,9,1,7,1,7
CHIAFramework,it.polimi.statemachine.events,AutomataEvent.new AutomataEvent() {...},3,44,0,0,2,9,1,7,1,7
CHIAFramework,it.polimi.statemachine.events,AutomataEvent.new AutomataEvent() {...},3,49,0,0,2,10,1,7,1,7
CHIAFramework,it.polimi.statemachine.events,AutomataEvent.new AutomataEvent() {...},59,16,8,0,12,6,5,6,1,6
CHIAFramework,it.polimi.statemachine.events,AutomataEvent.new AutomataEvent() {...},3,44,0,0,2,9,1,7,1,7
CHIAFramework,it.polimi.statemachine.events,AutomataEvent.new AutomataEvent() {...},13,51,0,0,3,10,1,7,1,7
CHIAFramework,it.polimi.statemachine.events,AutomataEvent.new AutomataEvent() {...},13,51,0,0,3,10,1,7,1,7
CHIAFramework,it.polimi.statemachine.events,AutomataEvent.new AutomataEvent() {...},3,44,0,0,2,9,1,7,1,7
CHIAFramework,it.polimi.statemachine.events,AutomataEvent,61,243,8,8,9,28,6,10,2,6
CHIAFramework,it.polimi.statemachine.events,AutomataEvent.new AutomataEvent() {...},3,44,0,0,2,9,1,7,1,7
CHIAFramework,it.polimi.statemachine.events,AutomataEvent.new AutomataEvent() {...},13,51,0,0,3,10,1,7,1,7
CHIAFramework,it.polimi.statemachine.events,ReplacementEvent.new ReplacementEvent() {...},13,51,0,0,3,10,1,7,1,7
CHIAFramework,it.polimi.statemachine.events,ReplacementEvent.new ReplacementEvent() {...},3,51,0,0,2,10,1,7,1,7
CHIAFramework,it.polimi.statemachine.events,ReplacementEvent.new ReplacementEvent() {...},59,16,8,0,12,6,5,6,1,6
CHIAFramework,it.polimi.statemachine.events,ReplacementEvent.new ReplacementEvent() {...},3,51,0,0,2,10,1,7,1,7
CHIAFramework,it.polimi.statemachine.events,ReplacementEvent.new ReplacementEvent() {...},13,51,0,0,3,10,1,7,1,7
CHIAFramework,it.polimi.statemachine.events,ReplacementEvent.new ReplacementEvent() {...},13,16,0,0,3,6,1,6,1,6
CHIAFramework,it.polimi.statemachine.events,ReplacementEvent.new ReplacementEvent() {...},3,48,0,0,2,9,1,7,1,7
CHIAFramework,it.polimi.statemachine.states,CHIAReplacementState,9,59,0,0,0,6,2,2,2,2
CHIAFramework,it.polimi.statemachine.states,CHIAAutomataState.new CHIAAutomataState() {...},0,56,0,12,0,17,0,9,0,3
CHIAFramework,it.polimi.statemachine.states,CHIAAutomataState.new CHIAAutomataState() {...},0,46,0,8,0,13,0,7,0,3
CHIAFramework,it.polimi.statemachine.states,CHIAReplacementState.new CHIAReplacementState() {...},0,76,0,20,0,25,0,13,0,3
CHIAFramework,it.polimi.statemachine.states,CHIAAutomataState.new CHIAAutomataState() {...},0,86,0,24,0,29,0,15,0,3
CHIAFramework,it.polimi.statemachine.states,CHIAReplacementState.new CHIAReplacementState() {...},0,66,0,16,0,21,0,11,0,3
CHIAFramework,it.polimi.statemachine.states,CHIAAutomataState.new CHIAAutomataState() {...},0,76,0,20,0,25,0,13,0,3
CHIAFramework,it.polimi.statemachine.states,CHIAReplacementState.new CHIAReplacementState() {...},0,46,0,8,0,13,0,7,0,3
CHIAFramework,it.polimi.statemachine.states,CHIAAutomataState.new CHIAAutomataState() {...},0,76,0,20,0,25,0,13,0,3
CHIAFramework,it.polimi.statemachine.states,CHIAReplacementState.new CHIAReplacementState() {...},0,86,0,24,0,29,0,15,0,3
CHIAFramework,it.polimi.statemachine.states,CHIAAutomataState.new CHIAAutomataState() {...},0,54,0,12,0,15,0,9,0,3
CHIAFramework,it.polimi.statemachine.states,CHIAReplacementState.new CHIAReplacementState() {...},0,56,0,12,0,17,0,9,0,3
CHIAFramework,it.polimi.statemachine.states,CHIAAutomataState,9,82,0,6,0,10,2,6,2,3
CHIAFramework,it.polimi.console,CHIAReplacementConsole,220,146,11,5,51,42,9,8,1,8
CHIAFramework,it.polimi.console,CHIAAutomataConsole,188,359,1,3,58,74,2,12,1,11
