GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CHIAScalabilityEvaluator,it.polimi.chia.scalability,ScalabilityTest,945,0,18,0,215,0,19,0,10,0
CHIAScalabilityEvaluator,it.polimi.chia.scalability.configuration,Ex3bRandomConfigurationGenerator,428,0,2,0,84,0,8,0,7,0
CHIAScalabilityEvaluator,it.polimi.chia.scalability.configuration,RandomConfigurationGenerator,292,159,3,1,52,33,8,7,6,7
CHIAScalabilityEvaluator,it.polimi.chia.scalability.configuration,Configuration,219,0,12,0,34,0,19,0,13,0
CHIAScalabilityEvaluator,it.polimi.chia.scalability.configuration,Ex3Configuration,73,0,0,0,5,0,3,0,3,0
CHIAScalabilityEvaluator,it.polimi.chia.scalability.claimLoader,ClaimLoader,48,0,0,0,6,0,2,0,2,0
CHIAScalabilityEvaluator,it.polimi.chia.scalability.randomGenerators,BARandomGenerator,3,298,3,17,0,69,3,15,0,8
CHIAScalabilityEvaluator,it.polimi.chia.scalability.randomGenerators,IBARandomGeneratorOneBlackBoxState,606,0,44,0,145,0,30,0,8,0
CHIAScalabilityEvaluator,it.polimi.chia.scalability.randomGenerators,IBARandomGenerator,132,622,17,35,25,134,18,17,1,8
CHIAScalabilityEvaluator,it.polimi.chia.scalability.experiments,Experiment3b,713,0,30,0,163,0,23,0,8,0
CHIAScalabilityEvaluator,it.polimi.chia.scalability.experiments,Experiment3,710,0,24,0,163,0,21,0,9,0
CHIAScalabilityEvaluator,it.polimi.chia.scalability.experiments,Experiment1,526,0,20,0,111,0,16,0,6,0
CHIAScalabilityEvaluator,it.polimi.chia.scalability.experiments,Experiment2,592,0,24,0,132,0,19,0,7,0
CHIAScalabilityEvaluator,it.polimi.chia.scalability.tasks,Task2,77,0,0,0,21,0,4,0,4,0
CHIAScalabilityEvaluator,it.polimi.chia.scalability.tasks,Task1,134,0,8,0,35,0,9,0,5,0
CHIAScalabilityEvaluator,it.polimi.chia.scalability.tasks,Task4,56,0,0,0,18,0,2,0,2,0
CHIAScalabilityEvaluator,it.polimi.chia.scalability.tasks,Task3,74,0,0,0,24,0,2,0,2,0
CHIAScalabilityEvaluator,it.polimi.chia.scalability.tasks,Task,41,0,4,0,13,0,7,0,5,0
CHIAScalabilityEvaluator,it.polimi.chia.scalability.results,Statistics,128,0,0,0,19,0,7,0,7,0
CHIAScalabilityEvaluator,it.polimi.chia.scalability.results,Record,343,0,16,0,115,0,63,0,55,0
CHIAScalabilityEvaluator,it.polimi.chia.scalability.results,ResultWriter,501,0,2,0,79,0,4,0,3,0
CHIAScalabilityEvaluator,it.polimi.chia.scalability.parsers,Ex3bConfParser,505,0,56,0,130,0,65,0,37,0
CHIAScalabilityEvaluator,it.polimi.chia.scalability.parsers,ConfParser,441,0,50,0,110,0,55,0,30,0
CHIAScalabilityEvaluator,it.polimi.chia.scalability.parsers,ConfWriter,344,0,0,0,36,0,2,0,2,0
